grid_id,slope_degrees,aspect_class,land_cover_class,soil_texture_class,drainage_distance_m
LS-00387,19.56696337072925,E,Tree cover,clay loam,10791.657311611132
LS-00388,24.769318714267545,E,Tree cover,clay loam,10752.224446451766
LS-00389,18.473902783706457,NW,Tree cover,clay loam,10752.224446451766
LS-00390,26.303518280743315,N,Tree cover,sandy clay loam,10752.224446451766
LS-00391,26.75982403813037,NW,Tree cover,clay loam,10441.996256104481
LS-00392,12.126020425527102,NW,Tree cover,sandy clay loam,10441.996256104481
LS-00393,15.263648786756434,NW,Tree cover,clay loam,10441.996256104481
LS-00394,8.675901289772462,N,Tree cover,sandy clay loam,10441.996256104481
LS-00395,13.653084941255486,N,Tree cover,sandy clay loam,10441.996256104481
LS-00396,12.544433317320204,N,Tree cover,clay loam,10441.996256104481
LS-00397,23.54333228054736,N,Tree cover,clay loam,10441.996256104481
LS-00398,12.286943989216917,E,Tree cover,clay loam,10791.657311611132
LS-00399,24.039908451074993,E,Tree cover,sandy clay loam,10791.657311611132
LS-00400,14.85108181503558,NE,Tree cover,sandy clay loam,10791.657311611132
LS-00401,20.803052791152506,E,Tree cover,clay loam,10791.657311611132
LS-00402,19.863813015296074,NE,Tree cover,sandy clay loam,10791.657311611132
LS-00403,22.952638082163677,N,Tree cover,sandy clay loam,10791.657311611132
LS-00404,24.4587923286692,E,Tree cover,clay loam,10791.657311611132
LS-00405,20.20878773754083,E,Tree cover,clay loam,10791.657311611132
LS-00406,16.28987217081688,E,Tree cover,sandy clay loam,10791.657311611132
LS-00407,19.111173505382823,E,Tree cover,clay loam,10791.657311611132
LS-00408,19.554121215600418,E,Tree cover,clay loam,11147.875198652999
LS-00409,28.56822952538206,SE,Tree cover,clay loam,11328.391269284444
LS-00410,18.342351343185356,N,Tree cover,clay loam,11130.046450936312
LS-00411,20.46047521772839,N,Tree cover,clay loam,11130.046450936312
LS-00412,27.819867855165064,N,Tree cover,clay loam,11130.046450936312
LS-00413,20.389279684510704,N,Tree cover,clay loam,11130.046450936312
LS-00414,15.695877263085361,SE,Tree cover,clay loam,11130.046450936312
LS-00415,26.282692898370573,E,Tree cover,clay loam,11328.391269284444
LS-00416,15.49882721659571,E,Tree cover,clay loam,11328.391269284444
LS-00417,28.250364100933076,E,Tree cover,clay loam,11328.391269284444
LS-00418,28.97445653016791,SE,Tree cover,clay loam,11328.391269284444
LS-00419,26.718070887362316,SE,Tree cover,clay loam,11328.391269284444
LS-00420,30.41334399700827,SE,Tree cover,clay loam,11690.667171865329
LS-00421,32.925620566459365,SE,Tree cover,clay loam,11691.88580801693
LS-00422,27.93677328628244,SE,Tree cover,clay loam,11742.190855787943
LS-00423,30.965180992914796,E,Tree cover,clay loam,11742.190855787943
LS-00424,23.454780861771525,E,Tree cover,clay loam,11742.190855787943
LS-00425,21.858867879686407,NE,Tree cover,,10781.540845352301
LS-00426,17.448342392243532,N,Tree cover,sandy clay loam,10781.540845352301
LS-00427,9.931363843910527,NE,Tree cover,sandy clay loam,10781.540845352301
LS-00428,30.143749562560217,N,Tree cover,clay loam,10956.802063602572
LS-00429,30.82273142612261,NE,Tree cover,clay loam,10947.495546927617
LS-00430,17.337627693338742,SE,Tree cover,clay loam,11332.052042107563
LS-00431,15.936372334479628,S,Tree cover,clay loam,11323.166202800392
LS-00432,18.294073686767156,SE,Tree cover,clay loam,11375.156338211356
LS-00433,19.44368087236825,N,Tree cover,clay loam,10947.495546927617
LS-00434,19.544064942411513,NE,Tree cover,clay loam,10947.495546927617
LS-00435,13.905137703518104,NE,Tree cover,clay loam,10785.084362111917
LS-00436,12.223602996794448,N,Tree cover,clay loam,11220.07714228649
LS-00437,14.47702885979796,SE,Tree cover,clay loam,11326.2808192075
LS-00438,15.449769700473988,SE,Tree cover,clay loam,11323.166202800392
LS-00439,23.153104439853138,S,Tree cover,clay loam,11375.156338211356
LS-00440,25.08569695556932,NW,Tree cover,clay loam,11215.530052537642
LS-00441,27.133309117069953,NW,Tree cover,clay loam,11215.530052537642
LS-00442,21.847818778534563,N,Tree cover,clay loam,11215.530052537642
LS-00443,27.425834944753937,N,Tree cover,clay loam,11074.701628585917
LS-00444,12.3990996540493,E,Tree cover,clay loam,11215.530052537642
LS-00445,14.871688592953694,SE,Tree cover,sandy clay loam,11215.530052537642
LS-00446,14.322925804805923,SE,Tree cover,sandy clay loam,11075.003059287868
LS-00447,11.607784055730203,NE,Tree cover,sandy clay loam,11215.530052537642
LS-00448,16.374041427535577,NE,Tree cover,sandy clay loam,11215.530052537642
LS-00449,12.457364131512376,SE,Tree cover,sandy clay loam,11215.530052537642
LS-00450,25.10593047783543,SE,Tree cover,clay loam,11221.765454321772
LS-00451,17.714655463827018,SE,Tree cover,sandy clay loam,11215.530052537642
LS-00452,14.251748697546013,SE,Tree cover,sandy clay loam,11215.530052537642
LS-00453,16.09893394777611,SE,Tree cover,sandy clay loam,11215.530052537642
LS-00454,18.109494423494386,SE,Tree cover,sandy clay loam,11215.530052537642
LS-00455,10.28225350231139,NE,Tree cover,sandy clay loam,11215.530052537642
LS-00456,16.86337362558032,E,Tree cover,sandy clay loam,11215.530052537642
LS-00457,19.508275243015785,S,Tree cover,clay loam,11375.156338211356
LS-00458,17.004966079183575,S,Tree cover,sandy clay loam,11375.156338211356
LS-00459,21.052244202604577,SE,Tree cover,sandy clay loam,11223.012534678597
LS-00460,15.839567690395128,NE,Tree cover,sandy clay loam,11375.156338211356
LS-00461,18.26515840480639,E,Tree cover,sandy clay loam,11375.156338211356
LS-00462,14.365624507488723,SE,Tree cover,sandy clay loam,11224.259615035424
LS-00463,11.382947459463924,E,Tree cover,sandy clay loam,11375.156338211356
LS-00464,18.176366695094053,N,Tree cover,sandy clay loam,11225.50669539225
LS-00465,17.28791827943369,N,Tree cover,sandy clay loam,11375.156338211356
LS-00466,18.096763983513544,SE,Tree cover,sandy clay loam,11375.156338211356
LS-00467,18.798449527942793,S,Tree cover,clay loam,11386.830269424803
LS-00468,21.988564869751087,SE,Tree cover,sandy clay loam,11375.156338211356
LS-00469,22.059342898211433,SE,Tree cover,sandy clay loam,11550.952008249147
LS-00470,23.629056788632088,S,Tree cover,sandy clay loam,11387.516971260888
LS-00471,22.064852746922526,NE,Tree cover,sandy clay loam,11388.679082060418
LS-00472,19.29371136114957,NE,Tree cover,sandy clay loam,11375.156338211356
LS-00473,17.09568341738304,E,Tree cover,sandy clay loam,11550.952008249147
LS-00474,19.84409714042727,SE,Tree cover,sandy clay loam,11375.156338211356
LS-00475,14.328506286936179,NE,Tree cover,clay loam,11550.952008249147
LS-00476,21.281307562167466,E,Tree cover,sandy clay loam,11388.919700278371
LS-00477,15.02529363198714,S,Tree cover,sandy clay loam,11215.530052537642
LS-00478,16.358015518457115,SE,Tree cover,sandy clay loam,11076.10533389368
LS-00479,12.059576075535713,E,Tree cover,sandy clay loam,11215.530052537642
LS-00480,9.48375708912233,E,Tree cover,clay loam,11215.530052537642
LS-00481,11.713276295458492,N,Tree cover,clay loam,11215.530052537642
LS-00482,14.190517509148302,SE,Tree cover,sandy clay loam,11076.675999683697
LS-00483,7.185481458695687,N,Tree cover,clay loam,11651.567276551254
LS-00484,12.861895088676935,N,Tree cover,sandy clay loam,11519.044666745183
LS-00485,11.572059289829157,NE,Tree cover,clay loam,11651.567276551254
LS-00486,11.73010664591346,SE,Tree cover,clay loam,11520.117724314463
LS-00487,11.340321394755675,NE,Tree cover,sandy clay loam,11215.530052537642
LS-00488,16.055907556319532,E,Grassland,sandy clay loam,11215.530052537642
LS-00489,11.961334062986195,NE,Grassland,sandy clay loam,11651.567276551254
LS-00490,12.75752312676347,N,Grassland,sandy clay loam,11651.567276551254
LS-00491,13.297931323600375,E,Tree cover,sandy clay loam,11651.567276551254
LS-00492,18.02403941807342,NE,Tree cover,sandy clay loam,11662.977161316527
LS-00493,10.265443495035084,S,Grassland,sandy clay loam,11651.567276551254
LS-00494,21.481592190249117,SE,Tree cover,sandy clay loam,11651.567276551254
LS-00495,17.185285023422324,S,Tree cover,sandy clay loam,11651.567276551254
LS-00496,21.54595605893193,SE,Tree cover,sandy clay loam,11664.178201818133
LS-00497,30.50820420650726,N,Tree cover,sandy clay loam,11072.772472093427
LS-00498,18.769534201400614,N,Tree cover,sandy clay loam,11072.772472093427
LS-00499,18.07623470486898,N,Tree cover,sandy clay loam,11072.772472093427
LS-00500,15.580982225161067,N,Tree cover,sandy clay loam,11072.772472093427
